TIME  IN1  IN2
644.531  2.861328  4.368286
634.766  2.694702  4.360352
625  2.362061  4.346313
615.234  2.197266  4.34021
605.469  2.033081  4.333496
595.703  1.870117  4.327393
585.938  1.707764  4.32251
576.172  1.381836  4.310303
566.406  1.219482  4.30603
556.641  1.05835  4.299927
546.875  0.898438  4.295044
537.109  0.737915  4.290771
527.344  0.577393  4.285889
517.578  0.256958  4.275513
507.813  0.098267  4.271851
498.047  -0.060425  4.266968
488.281  -0.219116  4.261475
478.516  -0.380859  3.539429
468.75  -0.738525  -4.591064
458.984  -0.894775  -4.581299
449.219  -1.052246  -4.556274
439.453  -1.209106  -4.528809
429.688  -1.366577  -4.501953
419.922  -1.679688  -4.453735
410.156  -1.835327  -4.431763
400.391  -1.992798  -4.411621
390.625  -2.149658  -4.393921
380.859  -2.305298  -4.376831
371.094  -2.615967  -4.345703
361.328  -2.772827  -4.332275
351.563  -2.929077  -4.320679
341.797  -3.084717  -4.309082
332.031  -3.239746  -4.298706
322.266  -3.551636  -4.279785
312.5  -3.707275  -4.27124
302.734  -3.863525  -4.263916
292.969  -4.017334  -4.257202
283.203  -4.172363  -4.251099
273.438  -4.327393  -4.244995
263.672  -4.632568  -3.452759
253.906  -4.769897  -0.473633
244.141  -4.869995  1.931763
234.375  -4.749146  -0.297241
224.609  -4.588013  -3.331299
214.844  -4.234619  -4.241333
205.078  -4.059448  -4.235229
195.313  -3.885498  -4.224243
185.547  -3.713989  -4.214478
175.781  -3.54126  -4.203491
166.016  -3.200684  -4.18457
156.25  -3.032227  -4.175415
146.484  -2.865601  -4.16748
136.719  -2.698975  -4.158325
126.953  -2.532349  -4.150391
117.188  -2.201538  -4.135742
107.422  -2.037354  -4.129028
97.656  -1.87439  -4.121704
87.891  -1.711426  -4.115601
78.125  -1.547852  -4.109497
68.359  -1.223755  -4.09729
58.594  -1.063232  -4.091187
48.828  -0.90271  -4.085693
39.063  -0.741577  -4.080811
29.297  -0.581055  -4.075317
19.531  -0.420532  -4.069824
9.766  -0.10376  -4.06311
0  0.054321  -4.050293
-9.766  0.213013  -4.0271
-19.531  0.389404  -1.099243
-29.297  0.579224  4.801636
