TIME  IN1  IN2
761.719  4.723511  -4.232788
751.953  4.884033  -4.221191
742.188  4.867554  -4.209595
732.422  4.680176  -4.196777
722.656  4.321289  -4.177856
712.891  4.144287  -4.171143
703.125  3.969727  -4.162598
693.359  3.795166  -4.157104
683.594  3.624268  -4.14978
673.828  3.28125  -4.137573
664.063  3.110352  -4.13208
654.297  2.941895  -4.127197
644.531  2.774048  -4.121704
634.766  2.605591  -4.118042
625  2.272949  -4.109497
615.234  2.108154  -4.105225
605.469  1.94397  -4.101562
595.703  1.781006  -4.098511
585.938  1.616211  -4.096069
576.172  1.290894  -4.089966
566.406  1.127319  -4.087524
556.641  0.967407  -4.084473
546.875  0.805664  -4.082642
537.109  0.644531  -4.0802
527.344  0.483398  -4.078369
517.578  0.162964  -4.074097
507.813  0.002441  -4.072876
498.047  -0.15625  -4.071045
488.281  -0.316162  -4.069824
478.516  -0.474854  -4.068604
468.75  -0.790405  -4.066162
458.984  -0.949097  -4.066162
449.219  -1.108398  -4.065552
439.453  -1.266479  -4.050903
429.688  -1.42334  -2.941895
419.922  -1.734619  4.831543
410.156  -1.894531  4.813843
400.391  -2.053223  4.786987
390.625  -2.211304  4.75647
380.859  -2.366943  4.727173
371.094  -2.681274  4.672852
361.328  -2.838135  4.648438
351.563  -2.994385  4.626465
341.797  -3.151245  4.603882
332.031  -3.306274  4.58374
322.266  -3.619995  4.54834
312.5  -3.776245  4.53125
302.734  -3.932495  4.515381
292.969  -4.087524  4.501343
283.203  -4.243774  4.487305
273.438  -4.400024  4.475098
263.672  -4.710693  4.451904
253.906  -4.865723  4.440918
244.141  -4.862671  4.432373
234.375  -4.685059  4.423218
224.609  -4.505615  4.414062
214.844  -4.151001  4.398804
205.078  -3.97522  4.390869
195.313  -3.80249  4.384155
185.547  -3.629761  4.379272
175.781  -3.458252  4.371338
166.016  -3.117065  4.361572
156.25  -2.947388  4.3573
146.484  -2.780762  4.351807
136.719  -2.612305  4.348145
126.953  -2.445679  4.343262
117.188  -2.114258  4.335938
107.422  -1.950684  4.334106
97.656  -1.787109  4.329224
87.891  -1.622314  4.326782
78.125  -1.459351  4.324341
68.359  -1.135254  4.318848
58.594  -0.973511  4.317017
48.828  -0.811157  4.314575
39.063  -0.650635  4.311523
29.297  -0.488281  4.310303
19.531  -0.328979  4.310303
9.766  -0.010376  4.30603
0  0.148926  4.30481
-9.766  0.307007  4.302368
-19.531  0.465698  4.301147
-29.297  0.625  4.301147
-39.063  0.943604  4.298706
-48.828  1.101685  4.297485
-58.594  1.259155  4.296875
-68.359  1.415405  4.295044
-78.125  1.570435  2.374878
-87.891  1.884766  -4.597168
-97.656  2.044067  -4.58252
-107.422  2.200928  -4.553833
-117.188  2.357178  -4.524536
-126.953  2.514648  -4.494629
-136.719  2.828979  -4.441528
-146.484  2.984619  -4.417114
-156.25  3.139648  -4.395142
-166.016  3.297729  -4.372559
-175.781  3.453979  -4.353638
-185.547  3.768921  -4.316406
-195.313  3.92395  -4.300537
-205.078  4.0802  -4.285889
-214.844  4.237671  -4.271851
-224.609  4.396362  -4.257202
-234.375  4.554443  -4.245605
-244.141  4.872437  -4.221802
-253.906  4.879761  -4.210205
-263.672  4.692383  -4.197388
-273.438  4.512939  -4.187012
-283.203  4.333496  -4.179688
-292.969  3.981934  -4.163818
-302.734  3.808594  -4.156494
-312.5  3.637085  -4.14978
-322.266  3.463745  -4.144287
-332.031  3.293457  -4.137573
-341.797  2.953491  -4.127197
-351.563  2.785645  -4.122925
-361.328  2.619629  -4.117432
-371.094  2.451172  -4.11377
-380.859  2.285156  -4.109497
-390.625  1.954956  -4.102173
-400.391  1.791382  -4.099121
-410.156  1.627808  -4.096069
-419.922  1.464844  -4.092407
-429.688  1.30249  -4.090576
-439.453  1.138306  -4.087524
-449.219  0.81665  -4.083252
-458.984  0.655518  -4.081421
-468.75  0.494995  -4.078369
-478.516  0.333862  -4.076538
-488.281  0.17334  -4.075317
-498.047  -0.145874  -4.072266
-507.813  -0.305176  -4.069824
-517.578  -0.463257  -4.067993
-527.344  -0.621948  -4.066772
-537.109  -0.78064  -4.066162
-546.875  -1.098022  -4.066772
-556.641  -1.255493  -4.052124
-566.406  -1.412964  -3.515015
-576.172  -1.560669  4.80896
-585.938  -1.724854  4.831543
-595.703  -2.042236  4.788818
-605.469  -2.199707  4.758301
-615.234  -2.355957  4.729614
-625  -2.512817  4.701538
-634.766  -2.669067  4.674683
-644.531  -2.983398  4.627686
-654.297  -3.139648  4.605103
-664.063  -3.294678  4.585571
-673.828  -3.450928  4.567261
-683.594  -3.607788  4.54895
-693.359  -3.765259  4.53186
-703.125  -4.075317  4.502563
-712.891  -4.231567  4.488525
