TIME  IN1  IN2
-2.627  -3.413696  -0.314941
-2.637  -3.413086  -0.341797
-2.646  -3.411255  -0.366821
-2.656  -3.409424  -0.393066
-2.666  -3.407593  -0.41748
-2.676  -3.407593  -0.443115
-2.686  -3.403931  -0.491333
-2.695  -3.4021  -0.515137
-2.705  -3.398438  -0.53833
-2.715  -3.394775  -0.562744
-2.725  -3.388062  -0.585938
-2.734  3.638306  -0.561523
-2.744  3.934326  -0.518799
-2.754  3.920898  -0.476074
-2.764  3.900146  -0.436401
-2.773  3.880005  -0.395508
-2.783  3.839722  -0.319214
-2.793  3.824463  -0.280762
-2.803  3.807373  -0.245361
-2.813  3.792725  -0.209961
-2.822  3.781128  -0.174561
-2.832  3.756714  -0.106201
-2.842  3.746948  -0.072632
-2.852  3.737183  -0.040283
-2.861  3.729248  -0.006714
-2.871  3.720703  0.024414
-2.881  3.708496  0.087891
-2.891  3.702393  0.119019
-2.9  3.69812  0.148315
-2.91  3.693848  0.178833
-2.92  3.689575  0.20874
-2.93  3.685913  0.237427
-2.939  3.68042  0.296021
-2.949  3.678589  0.324097
-2.959  3.675537  0.350952
-2.969  3.674927  0.380249
-2.979  3.674316  0.407104
-2.988  3.671875  0.460815
-2.998  3.671265  0.487671
-3.008  3.673706  0.515137
-3.018  3.673096  0.540771
-3.027  3.673706  0.567017
-3.037  3.674927  0.617676
-3.047  3.675537  0.643311
-3.057  3.676147  0.667725
-3.066  0.315552  0.667725
-3.076  -3.660278  0.614624
-3.086  -3.633423  0.535889
-3.096  -3.613892  0.496826
-3.105  -3.594971  0.458374
-3.115  -3.57666  0.421753
-3.125  -3.55896  0.386353
-3.135  -3.529663  0.315552
-3.145  -3.516235  0.282593
-3.154  -3.505859  0.248413
-3.164  -3.493652  0.216675
-3.174  -3.484497  0.183716
-3.184  -3.474731  0.152588
-3.193  -3.460083  0.089722
-3.203  -3.452759  0.060425
-3.213  -3.447266  0.029297
-3.223  -3.441162  0
-3.232  -3.43811  -0.029907
-3.242  -3.434448  -0.08667
-3.252  -3.431396  -0.114746
-3.262  -3.428345  -0.142822
-3.271  -3.426514  -0.170898
-3.281  -3.422241  -0.197754
-3.291  -3.418579  -0.251465
-3.301  -3.416138  -0.27832
-3.311  -3.415527  -0.304565
-3.32  -3.413696  -0.330811
-3.33  -3.411865  -0.355225
-3.34  -3.408813  -0.406494
-3.35  -3.407593  -0.431519
-3.359  -3.406372  -0.455933
-3.369  -3.404541  -0.480957
-3.379  -3.4021  -0.50415
-3.389  -3.396606  -0.552368
-3.398  -3.390503  -0.574341
-3.408  -3.380737  -0.599365
-3.418  0.355835  -0.592651
-3.428  3.934937  -0.53894
-3.438  3.929443  -0.495605
-3.447  3.88916  -0.414429
-3.457  3.868408  -0.375366
-3.467  3.848877  -0.336914
-3.477  3.831177  -0.299072
-3.486  3.815308  -0.263062
-3.496  3.786621  -0.19104
-3.506  3.773193  -0.15625
-3.516  3.762817  -0.122681
-3.525  3.751831  -0.087891
-3.535  3.740845  -0.056152
-3.545  3.724365  0.009155
-3.555  3.717651  0.041504
-3.564  3.712158  0.072632
-3.574  3.706055  0.10376
-3.584  3.699951  0.134277
-3.594  3.692017  0.194702
-3.604  3.687134  0.223389
-3.613  3.684082  0.252686
-3.623  3.68103  0.280762
-3.633  3.679199  0.310059
-3.643  3.676147  0.366211
-3.652  3.674927  0.393677
-3.662  3.673096  0.421143
-3.672  3.673096  0.447998
-3.682  3.672485  0.474854
-3.691  3.671875  0.501099
-3.701  3.673706  0.55481
-3.711  3.672485  0.579834
-3.721  3.674316  0.606079
-3.73  3.674927  0.630493
-3.74  3.676147  0.656128
-3.75  -3.383789  0.635376
