time	V(tr)	V(vc)
4.464488078202930e-002	3.000000e+000	6.309153e-001
4.494077921952930e-002	3.000000e+000	6.309151e-001
5.599000000000000e-002	3.000000e+000	6.309151e-001
5.599009041312959e-002	2.945752e+000	6.309151e-001
5.599018082625918e-002	2.891504e+000	6.309151e-001
5.599027123938877e-002	2.837256e+000	6.309151e-001
5.599036165251835e-002	2.783008e+000	6.309151e-001
5.599045206564794e-002	2.728760e+000	6.309151e-001
5.599054247877754e-002	2.674513e+000	6.309151e-001
5.599063289190712e-002	2.620265e+000	6.309151e-001
5.599092798896976e-002	2.443207e+000	6.309151e-001
5.599123616191683e-002	2.258303e+000	6.309151e-001
5.599158226486153e-002	2.050641e+000	6.309150e-001
5.599189539729606e-002	1.862762e+000	6.309149e-001
5.599219450745283e-002	1.683295e+000	6.309147e-001
5.599250590325620e-002	1.496458e+000	6.309143e-001
5.599290014216483e-002	1.259915e+000	6.309065e-001
5.599326787050895e-002	1.039278e+000	6.308673e-001
5.599365556605874e-002	8.066604e-001	6.307637e-001
5.599393313570365e-002	6.401186e-001	6.306320e-001
5.599427845026517e-002	4.329298e-001	6.304009e-001
5.599468610110800e-002	1.883393e-001	6.300827e-001
5.599474563409063e-002	1.526195e-001	6.300337e-001
5.599510283198644e-002	-6.169919e-002	6.297373e-001
5.599557909584751e-002	-3.474575e-001	6.293446e-001
5.599848152266804e-002	-2.088914e+000	6.270024e-001
5.600000000000000e-002	-3.000000e+000	6.258073e-001
5.600249096113914e-002	-3.000000e+000	6.239179e-001
5.600498192227826e-002	-3.000000e+000	6.220747e-001
5.600747288341740e-002	-3.000000e+000	6.202777e-001
5.600996384455653e-002	-3.000000e+000	6.185268e-001
5.601245480569567e-002	-3.000000e+000	6.168220e-001
5.601494576683479e-002	-3.000000e+000	6.151635e-001
5.601743672797393e-002	-3.000000e+000	6.135511e-001
5.603151320494033e-002	-3.000000e+000	6.049276e-001
5.605966615887315e-002	-3.000000e+000	5.893413e-001
5.611597206673877e-002	-3.000000e+000	5.611041e-001
5.621460487923877e-002	-3.000000e+000	5.148546e-001
5.631323769173877e-002	-3.000000e+000	4.701148e-001
5.641187050423877e-002	-3.000000e+000	4.260111e-001
5.651050331673876e-002	-3.000000e+000	3.821958e-001
5.660913612923876e-002	-3.000000e+000	3.386090e-001
5.670776894173876e-002	-3.000000e+000	2.952390e-001
5.690503456673876e-002	-3.000000e+000	2.091595e-001
5.710230019173876e-002	-3.000000e+000	1.239045e-001
5.729956581673876e-002	-3.000000e+000	3.947417e-002
5.749683144173876e-002	-3.000000e+000	-4.413163e-002
5.769409706673875e-002	-3.000000e+000	-1.269128e-001
5.789136269173875e-002	-3.000000e+000	-2.088695e-001
5.808862831673875e-002	-3.000000e+000	-2.900015e-001
5.836025284291893e-002	-3.000000e+000	-4.003857e-001
5.863187736909910e-002	-3.000000e+000	-5.093341e-001
5.890350189527929e-002	-3.000000e+000	-6.168468e-001
5.917512642145947e-002	-3.000000e+000	-7.229237e-001
5.944675094763965e-002	-3.000000e+000	-8.275648e-001
5.971837547381982e-002	-3.000000e+000	-9.307702e-001
5.999000000000000e-002	-3.000000e+000	-1.032540e+000
5.999446332792331e-002	-3.220032e-001	-1.034201e+000
5.999467007580493e-002	-1.979545e-001	-1.034278e+000
5.999487682368655e-002	-7.390579e-002	-1.034355e+000
5.999508357156816e-002	5.014294e-002	-1.034432e+000
5.999529031944978e-002	1.741917e-001	-1.034508e+000
5.999549706733139e-002	2.982404e-001	-1.034585e+000
5.999570381521301e-002	4.222891e-001	-1.034662e+000
5.999591056309463e-002	5.463378e-001	-1.034739e+000
5.999622890934345e-002	7.373456e-001	-1.034851e+000
5.999659476312737e-002	9.568579e-001	-1.034948e+000
5.999700990536717e-002	1.205943e+000	-1.034994e+000
5.999727049176644e-002	1.362295e+000	-1.034968e+000
5.999761992485602e-002	1.571955e+000	-1.034862e+000
5.999802711145590e-002	1.816267e+000	-1.034693e+000
5.999808689592610e-002	1.852138e+000	-1.034665e+000
5.999892387850891e-002	2.354327e+000	-1.034268e+000
6.000000000000000e-002	3.000000e+000	-1.033757e+000
6.000506053894247e-002	3.000000e+000	-1.031351e+000
6.001012107788495e-002	3.000000e+000	-1.028946e+000
6.001518161682742e-002	3.000000e+000	-1.026541e+000
6.002024215576991e-002	3.000000e+000	-1.024138e+000
6.002530269471238e-002	3.000000e+000	-1.021734e+000
6.003036323365486e-002	3.000000e+000	-1.019332e+000
6.003542377259733e-002	3.000000e+000	-1.016930e+000
6.035812890688029e-002	3.000000e+000	-8.650940e-001
6.068083404116325e-002	3.000000e+000	-7.155895e-001
6.100353917544621e-002	3.000000e+000	-5.684163e-001
6.132624430972917e-002	3.000000e+000	-4.235745e-001
6.164894944401213e-002	3.000000e+000	-2.810641e-001
6.197165457829509e-002	3.000000e+000	-1.408851e-001
6.229435971257805e-002	3.000000e+000	-3.037538e-003
6.249162533757804e-002	3.000000e+000	8.018913e-002
6.256207734650661e-002	3.000000e+000	1.097136e-001
6.263252935543519e-002	3.000000e+000	1.391352e-001
6.270298136436375e-002	3.000000e+000	1.684538e-001
6.277343337329233e-002	3.000000e+000	1.976695e-001
6.284388538222090e-002	3.000000e+000	2.267823e-001
6.291433739114948e-002	3.000000e+000	2.557921e-001
6.298478940007804e-002	3.000000e+000	2.846990e-001
6.308342221257804e-002	3.000000e+000	3.249990e-001
6.318205502507804e-002	3.000000e+000	3.650996e-001
6.328068783757804e-002	3.000000e+000	4.049978e-001
6.337932065007804e-002	3.000000e+000	4.446762e-001
6.347795346257804e-002	3.000000e+000	4.840533e-001
6.357658627507803e-002	3.000000e+000	5.227764e-001
6.367521908757803e-002	3.000000e+000	5.595770e-001
6.377385190007803e-002	3.000000e+000	5.912984e-001
6.387248471257803e-002	3.000000e+000	6.137559e-001
6.397111752507803e-002	3.000000e+000	6.255339e-001
6.406975033757803e-002	3.000000e+000	6.297563e-001
6.416838315007803e-002	3.000000e+000	6.307656e-001
6.426701596257803e-002	3.000000e+000	6.309310e-001
6.436564877507803e-002	3.000000e+000	6.309308e-001
6.446428158757803e-002	3.000000e+000	6.309179e-001
6.456291440007803e-002	3.000000e+000	6.309156e-001
6.466154721257802e-002	3.000000e+000	6.309152e-001
7.599000000000000e-002	3.000000e+000	6.309151e-001
7.599100000000000e-002	2.400000e+000	6.309147e-001
7.599300000000001e-002	1.200000e+000	6.309128e-001
7.599303104979151e-002	1.181370e+000	6.309127e-001
7.599309314937451e-002	1.144110e+000	6.309125e-001
7.599321734854053e-002	1.069591e+000	6.309113e-001
7.599334343062665e-002	9.939416e-001	6.309057e-001
7.599350769616188e-002	8.953823e-001	6.308858e-001
7.599394440607982e-002	6.333563e-001	6.307441e-001
7.599441435324779e-002	3.513880e-001	6.304648e-001
7.599485990811213e-002	8.405513e-002	6.301376e-001
7.599493030745676e-002	4.181553e-002	6.300805e-001
7.599535270352456e-002	-2.116221e-001	6.297299e-001
7.599676095664174e-002	-1.056574e+000	6.285753e-001
7.600000000000000e-002	-3.000000e+000	6.259947e-001
7.600190525667563e-002	-3.000000e+000	6.245378e-001
7.600381051335127e-002	-3.000000e+000	6.231097e-001
7.600571577002691e-002	-3.000000e+000	6.217105e-001
7.600762102670255e-002	-3.000000e+000	6.203402e-001
7.600952628337819e-002	-3.000000e+000	6.189987e-001
7.601143154005383e-002	-3.000000e+000	6.176860e-001
7.601333679672946e-002	-3.000000e+000	6.164023e-001
7.602335719968707e-002	-3.000000e+000	6.099803e-001
7.604339800560228e-002	-3.000000e+000	5.982832e-001
7.608347961743270e-002	-3.000000e+000	5.772260e-001
7.616364284109353e-002	-3.000000e+000	5.385484e-001
7.626227565359353e-002	-3.000000e+000	4.932093e-001
7.636090846609353e-002	-3.000000e+000	4.488648e-001
7.645954127859353e-002	-3.000000e+000	4.049146e-001
7.655817409109353e-002	-3.000000e+000	3.612120e-001
7.665680690359353e-002	-3.000000e+000	3.177301e-001
7.675543971609353e-002	-3.000000e+000	2.744631e-001
7.703724775180781e-002	-3.000000e+000	1.520719e-001
7.731905578752209e-002	-3.000000e+000	3.133498e-002
7.760086382323637e-002	-3.000000e+000	-8.774757e-002
7.788267185895066e-002	-3.000000e+000	-2.051758e-001
7.816447989466495e-002	-3.000000e+000	-3.209496e-001
7.844628793037922e-002	-3.000000e+000	-4.350691e-001
7.872809596609351e-002	-3.000000e+000	-5.475343e-001
7.890836797093730e-002	-3.000000e+000	-6.186666e-001
7.908863997578108e-002	-3.000000e+000	-6.891792e-001
7.926891198062487e-002	-3.000000e+000	-7.590720e-001
7.944918398546864e-002	-3.000000e+000	-8.283451e-001
7.962945599031243e-002	-3.000000e+000	-8.969985e-001
7.980972799515622e-002	-3.000000e+000	-9.650321e-001
7.999000000000001e-002	-3.000000e+000	-1.032446e+000
7.999071059549003e-002	-2.573643e+000	-1.032711e+000
7.999142119098004e-002	-2.147285e+000	-1.032975e+000
7.999213178647006e-002	-1.720928e+000	-1.033240e+000
7.999284238196008e-002	-1.294571e+000	-1.033504e+000
7.999355297745010e-002	-8.682136e-001	-1.033768e+000
7.999426357294012e-002	-4.418563e-001	-1.034033e+000
7.999497416843014e-002	-1.549894e-002	-1.034297e+000
7.999591846674745e-002	5.510800e-001	-1.034647e+000
7.999622002585631e-002	7.320155e-001	-1.034751e+000
7.999658542667641e-002	9.512560e-001	-1.034841e+000
7.999690902318016e-002	1.145414e+000	-1.034865e+000
7.999722566431508e-002	1.335399e+000	-1.034822e+000
7.999755892920261e-002	1.535357e+000	-1.034714e+000
7.999796165506029e-002	1.776993e+000	-1.034538e+000
7.999801904383200e-002	1.811426e+000	-1.034512e+000
7.999882248663597e-002	2.293492e+000	-1.034130e+000
8.000000000000000e-002	3.000000e+000	-1.033571e+000
8.000992465752434e-002	3.000000e+000	-1.028853e+000
8.001984931504867e-002	3.000000e+000	-1.024138e+000
8.002977397257301e-002	3.000000e+000	-1.019426e+000
8.003969863009736e-002	3.000000e+000	-1.014716e+000
8.004962328762169e-002	3.000000e+000	-1.010010e+000
8.005954794514603e-002	3.000000e+000	-1.005306e+000
8.006947260267036e-002	3.000000e+000	-1.000605e+000
8.038859943293560e-002	3.000000e+000	-8.506921e-001
8.070772626320083e-002	3.000000e+000	-7.030571e-001
8.102685309346606e-002	3.000000e+000	-5.577004e-001
8.134597992373131e-002	3.000000e+000	-4.146220e-001
8.166510675399655e-002	3.000000e+000	-2.738219e-001
8.198423358426178e-002	3.000000e+000	-1.353000e-001
8.230336041452702e-002	3.000000e+000	9.435354e-004
8.250062603952701e-002	3.000000e+000	8.413112e-002
8.257107804845558e-002	3.000000e+000	1.136418e-001
8.264153005738416e-002	3.000000e+000	1.430495e-001
8.271198206631272e-002	3.000000e+000	1.723544e-001
8.278243407524130e-002	3.000000e+000	2.015564e-001
8.285288608416987e-002	3.000000e+000	2.306555e-001
8.292333809309845e-002	3.000000e+000	2.596517e-001
8.299379010202701e-002	3.000000e+000	2.885450e-001
8.309242291452701e-002	3.000000e+000	3.288260e-001
8.319105572702701e-002	3.000000e+000	3.689075e-001
8.328968853952701e-002	3.000000e+000	4.087859e-001
8.338832135202701e-002	3.000000e+000	4.484411e-001
8.348695416452701e-002	3.000000e+000	4.877787e-001
8.358558697702700e-002	3.000000e+000	5.263962e-001
8.368421978952700e-002	3.000000e+000	5.628861e-001
8.378285260202700e-002	3.000000e+000	5.939080e-001
8.388148541452700e-002	3.000000e+000	6.153415e-001
8.398011822702700e-002	3.000000e+000	6.262013e-001
8.407875103952700e-002	3.000000e+000	6.299340e-001
8.417738385202700e-002	3.000000e+000	6.307879e-001
8.427601666452700e-002	3.000000e+000	6.309245e-001
8.437464947702700e-002	3.000000e+000	6.309263e-001
8.447328228952700e-002	3.000000e+000	6.309171e-001
8.457191510202700e-002	3.000000e+000	6.309155e-001
8.467054791452700e-002	3.000000e+000	6.309152e-001
8.698023805620171e-002	3.000000e+000	6.309151e-001
8.928992819787643e-002	3.000000e+000	6.309151e-001
9.159961833955115e-002	3.000000e+000	6.309151e-001
9.390930848122586e-002	3.000000e+000	6.309151e-001
9.621899862290056e-002	3.000000e+000	6.309151e-001
9.852868876457530e-002	3.000000e+000	6.309151e-001
1.008383789062500e-001	3.000000e+000	6.309151e-001
1.009370117187500e-001	3.000000e+000	6.309151e-001
1.010000000000000e-001	3.000000e+000	6.309151e-001
