t,u
-2.2571E-03,2.200E+00
-2.2566E-03,1.800E+00
-2.2560E-03,1.800E+00
-2.2555E-03,2.200E+00
-2.2550E-03,1.800E+00
-2.2545E-03,2.200E+00
-2.2540E-03,1.800E+00
-2.2535E-03,2.200E+00
-2.2530E-03,2.200E+00
-2.2525E-03,1.800E+00
-2.2520E-03,1.800E+00
-2.2515E-03,2.200E+00
-2.2510E-03,2.200E+00
-2.2505E-03,2.200E+00
-2.2500E-03,1.800E+00
-2.2495E-03,1.800E+00
-2.2490E-03,1.800E+00
-2.2485E-03,1.800E+00
-2.2480E-03,1.800E+00
-2.2475E-03,2.200E+00
-2.2470E-03,2.200E+00
-2.2465E-03,1.800E+00
-2.2460E-03,2.200E+00
-2.2455E-03,1.800E+00
-2.2450E-03,2.200E+00
-2.2445E-03,1.800E+00
-2.2440E-03,1.800E+00
-2.2434E-03,1.800E+00
-2.2429E-03,1.800E+00
-2.2424E-03,1.800E+00
-2.2419E-03,1.800E+00
-2.2414E-03,2.200E+00
-2.2409E-03,2.200E+00
-2.2404E-03,1.800E+00
-2.2399E-03,1.800E+00
-2.2394E-03,1.800E+00
-2.2389E-03,1.800E+00
-2.2384E-03,1.800E+00
-2.2379E-03,2.200E+00
-2.2374E-03,2.200E+00
-2.2369E-03,2.200E+00
-2.2364E-03,1.800E+00
-2.2359E-03,1.800E+00
-2.2354E-03,2.200E+00
-2.2349E-03,1.800E+00
-2.2344E-03,1.800E+00
-2.2339E-03,1.800E+00
-2.2334E-03,1.800E+00
-2.2329E-03,1.800E+00
-2.2324E-03,2.200E+00
-2.2319E-03,2.200E+00
-2.2314E-03,2.200E+00
-2.2308E-03,1.800E+00
-2.2303E-03,2.200E+00
-2.2298E-03,1.800E+00
-2.2293E-03,1.800E+00
-2.2288E-03,2.200E+00
-2.2283E-03,1.800E+00
-2.2278E-03,1.800E+00
-2.2273E-03,1.800E+00
-2.2268E-03,1.800E+00
-2.2263E-03,2.200E+00
-2.2258E-03,1.800E+00
-2.2253E-03,2.200E+00
-2.2248E-03,1.800E+00
-2.2243E-03,2.200E+00
-2.2238E-03,2.200E+00
-2.2233E-03,1.800E+00
-2.2228E-03,1.800E+00
-2.2223E-03,1.800E+00
-2.2218E-03,1.800E+00
-2.2213E-03,2.200E+00
-2.2208E-03,2.200E+00
-2.2203E-03,2.200E+00
-2.2198E-03,2.200E+00
-2.2193E-03,1.800E+00
-2.2188E-03,1.800E+00
-2.2182E-03,2.200E+00
-2.2177E-03,2.200E+00
-2.2172E-03,1.800E+00
-2.2167E-03,2.200E+00
-2.2162E-03,1.800E+00
-2.2157E-03,1.800E+00
-2.2152E-03,2.200E+00
-2.2147E-03,1.800E+00
-2.2142E-03,2.200E+00
-2.2137E-03,1.800E+00
-2.2132E-03,1.800E+00
-2.2127E-03,2.200E+00
-2.2122E-03,1.800E+00
-2.2117E-03,1.800E+00
-2.2112E-03,2.200E+00
-2.2107E-03,2.200E+00
-2.2102E-03,1.800E+00
-2.2097E-03,2.200E+00
-2.2092E-03,1.800E+00
-2.2087E-03,2.200E+00
-2.2082E-03,1.800E+00
-2.2077E-03,2.200E+00
