time	V(vc)	V(vout)
2.733675078044716e-003	1.463853e+000	-8.483062e+000
2.734980561913976e-003	1.449671e+000	-8.484790e+000
2.736286045783236e-003	1.435506e+000	-8.482706e+000
2.737591529652496e-003	1.421358e+000	-8.476811e+000
2.757895028725939e-003	1.204170e+000	-8.476833e+000
2.778198527799383e-003	9.915009e-001	-8.476850e+000
2.798502026872826e-003	7.833501e-001	-8.476862e+000
2.818805525946269e-003	5.797179e-001	-8.476869e+000
2.839109025019712e-003	3.806043e-001	-8.476871e+000
2.859412524093156e-003	1.860094e-001	-8.476868e+000
2.879716023166599e-003	-4.066896e-003	-8.476860e+000
2.888114460666599e-003	-8.156408e-002	-8.476860e+000
2.903111670488029e-003	-2.181157e-001	-8.477570e+000
2.918108880309458e-003	-3.525253e-001	-8.477781e+000
2.933106090130887e-003	-4.847927e-001	-8.477491e+000
2.948103299952316e-003	-6.149181e-001	-8.476703e+000
2.963100509773746e-003	-7.429014e-001	-8.475414e+000
2.978097719595175e-003	-8.687426e-001	-8.473626e+000
2.993094929416604e-003	-9.924417e-001	-8.471338e+000
2.997294148166604e-003	-1.026721e+000	-8.470056e+000
3.006112910882739e-003	-1.098216e+000	-8.473585e+000
3.014931673598874e-003	-1.168963e+000	-8.471651e+000
3.023750436315008e-003	-1.238960e+000	-8.464255e+000
3.032569199031143e-003	-1.308208e+000	-8.451396e+000
3.041387961747278e-003	-1.376707e+000	-8.433075e+000
3.050206724463413e-003	-1.444456e+000	-8.409291e+000
3.059025487179548e-003	-1.511455e+000	-8.380045e+000
3.059237459133605e-003	-1.513049e+000	-8.383750e+000
3.059449431087661e-003	-1.514641e+000	-8.381884e+000
3.059661403041719e-003	-1.516229e+000	-8.374446e+000
3.059873374995776e-003	-1.517815e+000	-8.361437e+000
3.060085346949833e-003	-1.519399e+000	-8.342857e+000
3.060297318903889e-003	-1.520980e+000	-8.318706e+000
3.060509290857947e-003	-1.522558e+000	-8.288983e+000
3.060611271731045e-003	-1.523310e+000	-8.241097e+000
3.060736188630286e-003	-1.524220e+000	-8.142858e+000
3.060874627734342e-003	-1.525208e+000	-7.969230e+000
3.061027394868105e-003	-1.526254e+000	-7.650367e+000
3.061215613501396e-003	-1.527446e+000	-6.995664e+000
3.061388140893149e-003	-1.528400e+000	-6.044108e+000
3.061532876638057e-003	-1.529053e+000	-4.914761e+000
3.061620074323469e-003	-1.529344e+000	-4.064880e+000
3.061723248165965e-003	-1.529562e+000	-2.946967e+000
3.061828862056314e-003	-1.529656e+000	-1.773438e+000
3.062289906506241e-003	-1.528256e+000	3.363776e+000
3.062656105950177e-003	-1.525469e+000	6.577618e+000
3.063081001815706e-003	-1.521327e+000	8.372927e+000
3.063143518510569e-003	-1.520661e+000	8.438375e+000
3.064449591807301e-003	-1.506404e+000	8.455190e+000
3.065755665104033e-003	-1.492164e+000	8.468230e+000
3.067061738400765e-003	-1.477942e+000	8.477495e+000
3.068367811697497e-003	-1.463736e+000	8.482985e+000
3.069673884994229e-003	-1.449548e+000	8.484700e+000
3.070979958290961e-003	-1.435377e+000	8.482639e+000
3.072286031587693e-003	-1.421223e+000	8.476804e+000
3.092591410592366e-003	-1.204019e+000	8.476797e+000
3.112896789597040e-003	-9.913343e-001	8.476786e+000
3.133202168601714e-003	-7.831697e-001	8.476771e+000
3.153507547606387e-003	-5.795250e-001	8.476752e+000
3.173812926611061e-003	-3.804003e-001	8.476728e+000
3.194118305615735e-003	-1.857954e-001	8.476700e+000
3.214423684620408e-003	4.289513e-003	8.476667e+000
3.222822122120409e-003	8.178285e-002	8.476657e+000
3.246217769441838e-003	2.937821e-001	8.482632e+000
3.269613416763268e-003	5.006236e-001	8.483952e+000
3.293009064084698e-003	7.023074e-001	8.480615e+000
3.316404711406127e-003	8.988335e-001	8.472624e+000
3.339800358727557e-003	1.090202e+000	8.459976e+000
3.363196006048987e-003	1.276412e+000	8.442673e+000
3.386591653370416e-003	1.457465e+000	8.420713e+000
3.387788663683148e-003	1.466606e+000	8.429857e+000
3.388985673995880e-003	1.475718e+000	8.431753e+000
3.390182684308611e-003	1.484803e+000	8.426400e+000
3.391379694621343e-003	1.493861e+000	8.413799e+000
3.392576704934075e-003	1.502891e+000	8.393949e+000
3.393773715246807e-003	1.511893e+000	8.366852e+000
3.394970725559539e-003	1.520868e+000	8.332506e+000
3.395203039444854e-003	1.522594e+000	8.287067e+000
3.395306494200742e-003	1.523357e+000	8.237548e+000
3.395431138805398e-003	1.524264e+000	8.137716e+000
3.395575038204871e-003	1.525289e+000	7.953442e+000
3.395730691826459e-003	1.526351e+000	7.621300e+000
3.395918704765706e-003	1.527534e+000	6.950379e+000
3.396095155033578e-003	1.528504e+000	5.966712e+000
3.396224669208530e-003	1.529085e+000	4.955699e+000
3.396311565374161e-003	1.529376e+000	4.114203e+000
3.396415527522346e-003	1.529601e+000	3.001049e+000
3.396521594375112e-003	1.529701e+000	1.834620e+000
3.396749609517352e-003	1.529418e+000	-6.851521e-001
3.396982016892368e-003	1.528346e+000	-3.260454e+000
3.397355563041367e-003	1.525525e+000	-6.546671e+000
3.397778312309809e-003	1.521422e+000	-8.369571e+000
3.397841187046630e-003	1.520752e+000	-8.438034e+000
3.399146671465464e-003	1.506502e+000	-8.455008e+000
3.400452155884297e-003	1.492268e+000	-8.468171e+000
3.401757640303130e-003	1.478052e+000	-8.477522e+000
3.403063124721964e-003	1.463853e+000	-8.483062e+000
3.404368609140797e-003	1.449671e+000	-8.484790e+000
3.405674093559631e-003	1.435506e+000	-8.482706e+000
3.406979577978464e-003	1.421358e+000	-8.476811e+000
3.427283077376789e-003	1.204170e+000	-8.476833e+000
3.447586576775114e-003	9.915009e-001	-8.476850e+000
3.467890076173438e-003	7.833500e-001	-8.476862e+000
3.488193575571763e-003	5.797179e-001	-8.476869e+000
3.508497074970088e-003	3.806043e-001	-8.476871e+000
3.528800574368412e-003	1.860094e-001	-8.476868e+000
3.549104073766737e-003	-4.066962e-003	-8.476860e+000
3.557502511266737e-003	-8.156414e-002	-8.476860e+000
3.580898158588167e-003	-2.935751e-001	-8.482845e+000
3.604293805909596e-003	-5.004280e-001	-8.484174e+000
3.627689453231026e-003	-7.021227e-001	-8.480846e+000
3.651085100552455e-003	-8.986593e-001	-8.472862e+000
3.674480747873885e-003	-1.090038e+000	-8.460221e+000
3.697876395195315e-003	-1.276258e+000	-8.442924e+000
3.721272042516744e-003	-1.457320e+000	-8.420971e+000
3.722470957174268e-003	-1.466475e+000	-8.429950e+000
3.723669871831792e-003	-1.475603e+000	-8.431763e+000
3.724868786489316e-003	-1.484703e+000	-8.426410e+000
