TIME  IN1  IN2
-478.516  0.436401  4.324951
-488.281  0.275879  4.319458
-498.047  -0.042114  4.310303
-507.813  -0.201416  4.30603
-517.578  -0.359497  4.302368
-527.344  -0.518799  4.297485
-537.109  -0.675659  4.293213
-546.875  -0.991211  4.285889
-556.641  -1.149292  4.281616
-566.406  -1.306763  4.277344
-576.172  -1.463623  4.274902
-585.938  -1.620483  4.27063
-595.703  -1.935425  4.263916
-605.469  -2.092285  4.260254
-615.234  -2.265015  0.802002
-625  -2.442017  -4.622192
-634.766  -2.593994  -4.63562
-644.531  -2.904663  -4.591064
-654.297  -3.060303  -4.562378
-664.063  -3.214722  -4.535522
-673.828  -3.370361  -4.509888
-683.594  -3.526611  -4.485474
-693.359  -3.682861  -4.464111
-703.125  -3.99231  -4.424438
-712.891  -4.147339  -4.406738
-722.656  -4.303589  -4.390869
-732.422  -4.459229  -4.37439
-742.188  -4.613647  -4.351807
-751.953  -4.899902  -3.969116
-761.719  -4.79248  -4.143677
-771.484  -4.614868  -4.285278
-781.25  -4.436646  -4.290771
-791.016  -4.259644  -4.281006
-800.781  -3.908691  -4.255981
-810.547  -3.738403  -4.244995
-820.313  -3.565063  -4.233398
-830.078  -3.394165  -4.222412
-839.844  -3.223267  -4.212646
-849.609  -2.887573  -4.194946
-859.375  -2.719727  -4.185791
-869.141  -2.553101  -4.177856
-878.906  -2.387085  -4.169922
-888.672  -2.22229  -4.162598
-898.438  -1.893311  -4.14856
-908.203  -1.729736  -4.141846
-917.969  -1.566772  -4.135742
-927.734  -1.404419  -4.129028
-937.5  -1.242065  -4.123535
-947.266  -1.082153  -4.118042
-957.031  -0.759277  -4.107666
-966.797  -0.598145  -4.102783
-976.563  -0.437622  -4.098511
-986.328  -0.278931  -4.093628
-996.094  -0.119629  -4.089355
-1.006  0.197754  -4.0802
-1.016  0.355835  -4.076538
-1.025  0.513916  -4.072876
-1.035  0.671997  -4.069214
-1.045  0.829468  -4.065552
-1.055  1.14563  -4.057617
-1.064  1.30249  -4.058228
-1.074  1.45874  -4.053955
-1.084  1.616211  -4.04541
-1.094  1.773071  -4.033203
-1.104  2.111816  1.226807
-1.113  2.277832  4.876099
-1.123  2.43103  4.871216
-1.133  2.58606  4.850464
-1.143  2.74292  4.82605
-1.152  3.052979  4.772949
-1.162  3.208618  4.750366
-1.172  3.364258  4.727783
-1.182  3.520508  4.707642
-1.191  3.676758  4.690552
-1.201  3.833008  4.674072
-1.211  4.144287  4.647827
-1.221  4.301758  4.639282
-1.23  4.459229  4.634399
-1.24  4.61731  4.6521
-1.25  4.776001  4.767456
-1.26  4.810181  4.833374
-1.27  4.625244  4.65271
-1.279  4.446411  4.558716
-1.289  4.269409  4.532471
-1.299  4.093628  4.51416
-1.309  3.746948  4.484863
-1.318  3.57605  4.471436
-1.328  3.405151  4.460449
