TIME  IN1  IN2
1.143  -2.81189  4.299316
1.133  -2.478027  4.293213
1.123  -2.311401  4.291382
1.113  -2.145996  4.28894
1.104  -1.982422  4.285889
1.094  -1.818237  4.284668
1.084  -1.489868  4.280396
1.074  -1.326904  4.279175
1.064  -1.165161  4.277344
1.055  -1.003418  4.275513
1.045  -0.841675  4.273682
1.035  -0.679932  4.273682
1.025  -0.358276  4.27124
1.016  -0.199585  4.269409
1.006  -0.039673  4.268799
996.094  0.119629  4.266968
986.328  0.27771  4.266968
976.563  0.5896  -4.559937
966.797  0.752563  -4.56604
957.031  0.911865  -4.545288
947.266  1.071167  -4.517212
937.5  1.229858  -4.487915
927.734  1.544189  -4.431763
917.969  1.70166  -4.406128
908.203  1.858521  -4.382935
898.438  2.017212  -4.360352
888.672  2.172852  -4.3396
878.906  2.485962  -4.302368
869.141  2.643433  -4.285889
859.375  2.800293  -4.27002
849.609  2.956543  -4.254761
839.844  3.111572  -4.241333
830.078  3.424683  -4.215088
820.313  3.582153  -4.204102
810.547  3.739014  -4.193115
800.781  3.894653  -4.182739
791.016  4.050903  -4.173584
781.25  4.207764  -4.165039
771.484  4.524536  -4.14856
761.719  4.683228  -4.140625
751.953  4.84314  -4.133911
742.188  4.906616  -4.127197
732.422  4.729004  -4.116821
722.656  4.368896  -4.105225
712.891  4.193115  -4.100342
703.125  4.016724  -4.095459
693.359  3.842773  -4.091797
683.594  3.670044  -4.087524
673.828  3.328247  -4.07959
664.063  3.157349  -4.076538
654.297  2.987671  -4.072876
644.531  2.819214  -4.070435
634.766  2.651978  -4.067383
625  2.318115  -4.0625
615.234  2.15332  -4.060059
605.469  1.987915  -4.057617
595.703  1.824951  -4.055176
585.938  1.660767  -4.053345
576.172  1.334229  -4.049683
566.406  1.171265  -4.048462
556.641  1.009521  -4.046631
546.875  0.848999  -4.04541
537.109  0.687866  -4.044189
527.344  0.526123  -4.042358
517.578  0.203857  -4.041748
507.813  0.043945  -4.042358
498.047  -0.115356  -4.030151
488.281  -0.274658  -3.99292
478.516  -0.424194  2.590332
468.75  -0.74707  4.789429
458.984  -0.906372  4.764404
449.219  -1.065674  4.736328
439.453  -1.223755  4.706421
429.688  -1.381836  4.677734
419.922  -1.697388  4.627075
410.156  -1.854858  4.602661
400.391  -2.01355  4.580688
390.625  -2.17041  4.561157
380.859  -2.32605  4.541626
371.094  -2.639771  4.506836
361.328  -2.796631  4.490356
351.563  -2.953491  4.475708
341.797  -3.109131  4.462891
332.031  -3.264771  4.450073
322.266  -3.578491  4.42627
312.5  -3.734741  4.415894
302.734  -3.891602  4.405518
292.969  -4.046631  4.395752
283.203  -4.20166  4.387817
273.438  -4.359131  4.379272
263.672  -4.6698  4.364624
253.906  -4.824219  4.356689
244.141  -4.89563  4.349976
234.375  -4.731445  4.345703
224.609  -4.552002  4.3396
214.844  -4.197388  4.328613
205.078  -4.020996  4.324951
195.313  -3.847046  4.320068
185.547  -3.674927  4.315796
175.781  -3.502808  4.312744
166.016  -3.1604  4.30481
156.25  -2.990723  4.302368
146.484  -2.824097  4.299316
136.719  -2.65625  4.296265
126.953  -2.489624  4.293823
117.188  -2.156982  4.28894
107.422  -1.992798  4.285889
97.656  -1.828003  4.285278
87.891  -1.664429  4.282837
78.125  -1.500854  4.281006
68.359  -1.176147  4.277344
58.594  -1.015015  4.275513
48.828  -0.853271  4.274902
39.063  -0.691528  4.273682
29.297  -0.530396  4.271851
19.531  -0.370483  4.27002
9.766  -0.05127  4.268188
0  0.107422  4.267578
-9.766  0.266113  4.267578
-19.531  0.419922  0.26062
-29.297  0.576782  -4.557495
-39.063  0.899048  -4.54834
-48.828  1.05896  -4.519653
-58.594  1.217651  -4.489746
-68.359  1.374512  -4.46106
-78.125  1.531982  -4.434204
-87.891  1.846313  -4.385376
-97.656  2.004395  -4.362183
-107.422  2.161255  -4.341431
-117.188  2.317505  -4.321899
-126.953  2.474365  -4.304199
-136.719  2.787476  -4.27063
-146.484  2.943726  -4.255981
-156.25  3.098755  -4.242554
-166.016  3.256226  -4.228516
-175.781  3.413696  -4.215698
-185.547  3.726196  -4.193726
-195.313  3.882446  -4.18396
-205.078  4.039307  -4.174194
-214.844  4.196167  -4.165039
-224.609  4.354248  -4.156494
-234.375  4.512329  -4.14917
-244.141  4.830322  -4.134521
-253.906  4.910889  -4.127808
-263.672  4.740601  -4.118042
-273.438  4.559326  -4.111328
-283.203  4.379883  -4.105835
-292.969  4.02771  -4.096069
-302.734  3.85376  -4.091187
-312.5  3.68103  -4.086914
-322.266  3.510132  -4.083252
-332.031  3.338013  -4.0802
-341.797  2.998657  -4.073486
-351.563  2.82959  -4.070435
-361.328  2.662354  -4.067383
-371.094  2.495117  -4.064941
-380.859  2.329102  -4.06189
-390.625  1.998901  -4.057007
-400.391  1.835938  -4.055176
-410.156  1.671143  -4.053345
-419.922  1.507568  -4.051514
-429.688  1.344604  -4.049683
-439.453  1.182251  -4.048462
-449.219  0.859375  -4.04541
-458.984  0.698242  -4.044189
-468.75  0.535889  -4.042969
-478.516  0.375977  -4.041138
-488.281  0.215454  -4.040527
-498.047  -0.10376  -4.030151
-507.813  -0.263062  -4.000854
-517.578  -0.413818  1.989136
-527.344  -0.574951  4.799805
-537.109  -0.734863  4.79126
-546.875  -1.054077  4.73938
-556.641  -1.212769  4.708252
-566.406  -1.37146  4.680176
-576.172  -1.52832  4.653931
-585.938  -1.685791  4.628296
-595.703  -2.001343  4.58313
-605.469  -2.159424  4.562378
-615.234  -2.315063  4.542847
-625  -2.471924  4.525146
-634.766  -2.629395  4.508667
-644.531  -2.943115  4.476929
-654.297  -3.099976  4.464111
-664.063  -3.255005  4.450073
-673.828  -3.412476  4.437866
-683.594  -3.569336  4.42749
-693.359  -3.725586  4.416504
-703.125  -4.036865  4.396362
-712.891  -4.192505  4.387817
-722.656  -4.348755  4.379272
-732.422  -4.504395  4.371338
-742.188  -4.660645  4.364624
-751.953  -4.901733  4.349976
-761.719  -4.746094  4.345093
-771.484  -4.56604  4.3396
-781.25  -4.387817  4.334106
-791.016  -4.210815  4.329834
-800.781  -3.860474  4.319458
-810.547  -3.687744  4.315796
-820.313  -3.515015  4.312134
-830.078  -3.343506  4.308472
-839.844  -3.173218  4.30481
-849.609  -2.836304  4.298706
-859.375  -2.667847  4.296265
-869.141  -2.501221  4.294434
-878.906  -2.334595  4.291382
-888.672  -2.169189  4.28894
-898.438  -1.84082  4.284668
-908.203  -1.677246  4.282837
-917.969  -1.513062  4.281006
-927.734  -1.350098  4.279785
-937.5  -1.188354  4.277344
-947.266  -1.027222  4.275513
-957.031  -0.703125  4.273071
-966.797  -0.541992  4.271851
-976.563  -0.38147  4.27124
-986.328  -0.222778  4.269409
-996.094  -0.062866  4.268188
-1.006  0.255127  4.266968
-1.016  0.409546  0.895996
-1.025  0.565186  -4.555054
-1.035  0.728149  -4.568481
-1.045  0.887451  -4.549561
-1.055  1.206665  -4.492188
-1.064  1.364136  -4.462891
-1.074  1.520996  -4.436035
-1.084  1.678467  -4.4104
-1.094  1.835938  -4.386597
-1.104  2.150879  -4.342651
-1.113  2.307129  -4.32373
-1.123  2.463379  -4.30542
-1.133  2.620239  -4.28894
-1.143  2.7771  -4.272461
-1.152  3.088989  -4.243164
-1.162  3.24585  -4.229736
-1.172  3.40332  -4.216919
-1.182  3.560181  -4.205322
-1.191  3.716431  -4.194946
-1.201  3.87207  -4.18457
-1.211  4.185791  -4.165649
-1.221  4.343872  -4.157104
-1.23  4.501953  -4.14917
-1.24  4.660645  -4.141846
-1.25  4.819946  -4.135132
-1.26  4.754028  -4.118652
-1.27  4.572754  -4.111328
-1.279  4.393311  -4.106445
-1.289  4.216309  -4.100952
-1.299  4.040527  -4.096069
-1.309  3.694458  -4.086914
-1.318  3.52356  -4.082642
-1.328  3.35144  -4.07959
-1.338  3.179321  -4.077148
-1.348  3.010864  -4.072876
-1.357  2.675781  -4.066772
-1.367  2.507324  -4.064941
-1.377  2.340698  -4.0625
-1.387  2.175293  -4.060059
-1.396  2.009888  -4.057617
-1.406  1.68335  -4.052734
-1.416  1.519775  -4.050903
-1.426  1.356812  -4.049683
-1.436  1.193848  -4.048462
-1.445  1.032715  -4.046631
-1.455  0.871582  -4.04541
-1.465  0.548096  -4.042358
-1.475  0.387573  -4.041138
-1.484  0.227051  -4.039917
-1.494  0.067139  -4.042358
-1.504  -0.091553  -4.031372
-1.514  -0.402832  1.345825
-1.523  -0.563354  4.799194
-1.533  -0.723877  4.79248
-1.543  -0.883789  4.770508
-1.553  -1.04248  4.741211
-1.563  -1.360474  4.682617
-1.572  -1.517334  4.656372
-1.582  -1.674805  4.630127
-1.592  -1.832275  4.606323
-1.602  -1.990356  4.585571
-1.611  -2.304077  4.544067
-1.621  -2.460938  4.526367
-1.631  -2.617798  4.509277
-1.641  -2.774658  4.493408
-1.65  -2.930908  4.47876
-1.66  -3.243408  4.451294
-1.67  -3.400269  4.439087
-1.68  -3.557129  4.428711
-1.689  -3.713379  4.417114
-1.699  -3.870239  4.406128
-1.709  -4.025269  4.398193
-1.719  -4.337158  4.379272
-1.729  -4.492798  4.372559
-1.738  -4.648438  4.365234
-1.748  -4.804077  4.35791
-1.758  -4.904175  4.351196
-1.768  -4.577026  4.34021
-1.777  -4.398804  4.334106
-1.787  -4.221191  4.330444
-1.797  -4.04541  4.324951
-1.807  -3.87207  4.320068
-1.816  -3.527222  4.312744
-1.826  -3.355103  4.308472
-1.836  -3.184204  4.30603
-1.846  -3.015137  4.302368
-1.855  -2.848511  4.299316
-1.865  -2.513428  4.295044
-1.875  -2.346191  4.291382
-1.885  -2.180786  4.28894
-1.895  -2.016602  4.287109
-1.904  -1.853027  4.284668
-1.914  -1.524658  4.281616
-1.924  -1.362305  4.279175
-1.934  -1.199951  4.276733
-1.943  -1.038818  4.275513
-1.953  -0.877075  4.275513
-1.963  -0.715332  4.273071
-1.973  -0.393677  4.27124
-1.982  -0.235596  4.269409
-1.992  -0.075073  4.268188
-2.002  0.083618  4.267578
-2.012  0.24231  4.266968
-2.021  0.552368  -4.552002
-2.031  0.715942  -4.569092
-2.041  0.875244  -4.552002
-2.051  1.035156  -4.524536
-2.061  1.193848  -4.494629
-2.07  1.508179  -4.438477
-2.08  1.665649  -4.412842
-2.09  1.82312  -4.388428
-2.1  1.981201  -4.366455
-2.109  2.138062  -4.345093
-2.119  2.449951  -4.307861
-2.129  2.607422  -4.290161
-2.139  2.764282  -4.274292
-2.148  2.921143  -4.259033
-2.158  3.076782  -4.244385
-2.168  3.233643  -4.231567
-2.178  3.546753  -4.207153
-2.188  3.703003  -4.196167
-2.197  3.859253  -4.185791
-2.207  4.015503  -4.176025
-2.217  4.172974  -4.16687
-2.227  4.488525  -4.150391
-2.236  4.647217  -4.143677
-2.246  4.805908  -4.136353
-2.256  4.915771  -4.129639
-2.266  4.765015  -4.120483
-2.275  4.403687  -4.107056
-2.285  4.226074  -4.102173
-2.295  4.050293  -4.0979
-2.305  3.876343  -4.093018
-2.314  3.703613  -4.088745
-2.324  3.360596  -4.080811
-2.334  3.189697  -4.077759
-2.344  3.02002  -4.074097
-2.354  2.851562  -4.071655
-2.363  2.684326  -4.069214
-2.373  2.350464  -4.06311
-2.383  2.184448  -4.060669
-2.393  2.019653  -4.058228
-2.402  1.856689  -4.056396
-2.412  1.692505  -4.053955
-2.422  1.528931  -4.052124
-2.432  1.203003  -4.049072
-2.441  1.04126  -4.047241
-2.451  0.880737  -4.046021
-2.461  0.719604  -4.0448
-2.471  0.557251  -4.042969
-2.48  0.236816  -4.040527
-2.49  0.077515  -4.042358
-2.5  -0.081787  -4.032593
-2.51  -0.241089  -4.008179
-2.52  -0.393677  0.787964
-2.529  -0.714111  4.793091
-2.539  -0.873413  4.771729
-2.549  -1.032715  4.741821
-2.559  -1.191406  4.712524
-2.568  -1.350098  4.684448
-2.578  -1.663818  4.631348
-2.588  -1.821289  4.607544
-2.598  -1.97998  4.586182
-2.607  -2.137451  4.564819
-2.617  -2.293701  4.545288
-2.627  -2.607422  4.510498
-2.637  -2.764893  4.494019
-2.646  -2.921143  4.47998
-2.656  -3.078003  4.465332
-2.666  -3.233032  4.451904
-2.676  -3.389282  4.440308
-2.686  -3.703003  4.417114
-2.695  -3.859253  4.407349
-2.705  -4.013672  4.398193
-2.715  -4.169922  4.389038
-2.725  -4.326172  4.379883
-2.734  -4.637451  4.365234
-2.744  -4.793091  4.358521
-2.754  -4.906006  4.352417
-2.764  -4.769897  4.346313
-2.773  -4.589844  4.3396
-2.783  -4.234009  4.330444
-2.793  -4.057617  4.325562
-2.803  -3.883057  4.320679
-2.813  -3.711548  4.317627
-2.822  -3.538208  4.313354
-2.832  -3.196411  4.306641
-2.842  -3.027344  4.302979
-2.852  -2.860107  4.299316
-2.861  -2.69165  4.297485
-2.871  -2.524414  4.294434
-2.881  -2.192383  4.28894
-2.891  -2.028198  4.287109
-2.9  -1.864624  4.284668
-2.91  -1.700439  4.282837
-2.92  -1.536865  4.281616
-2.93  -1.373291  4.279175
-2.939  -1.050415  4.276733
-2.949  -0.888062  4.274292
-2.959  -0.725708  4.273071
-2.969  -0.565186  4.272461
-2.979  -0.404053  4.27124
-2.988  -0.084839  4.268188
-2.998  0.073853  4.268188
-3.008  0.232544  4.266357
-3.018  0.388184  2.111206
-3.027  0.541382  -4.54834
-3.037  0.865479  -4.553223
-3.047  1.02478  -4.526367
-3.057  1.183472  -4.49585
-3.066  1.340332  -4.467163
-3.076  1.497803  -4.439697
-3.086  1.812744  -4.389648
-3.096  1.970215  -4.367676
-3.105  2.127075  -4.346313
-3.115  2.283325  -4.326172
-3.125  2.440186  -4.307861
-3.135  2.753906  -4.274292
-3.145  2.910767  -4.259644
-3.154  3.066406  -4.245605
-3.164  3.222656  -4.232178
-3.174  3.379517  -4.21936
-3.184  3.536987  -4.207153
-3.193  3.850098  -4.185791
-3.203  4.006348  -4.176636
-3.213  4.162598  -4.16748
-3.223  4.320679  -4.158936
-3.232  4.47876  -4.151001
-3.242  4.796753  -4.135742
-3.252  4.918823  -4.129639
-3.262  4.779053  -4.120483
-3.271  4.595947  -4.112549
-3.281  4.417725  -4.107056
-3.291  4.063721  -4.09729
-3.301  3.88916  -4.093628
-3.311  3.717041  -4.088745
-3.32  3.545532  -4.084473
-3.33  3.373413  -4.081421
-3.34  3.032837  -4.074097
-3.35  2.863159  -4.071655
-3.359  2.697144  -4.068604
-3.369  2.529297  -4.066162
-3.379  2.362671  -4.063721
-3.389  2.032471  -4.058228
-3.398  1.870117  -4.055786
-3.408  1.705933  -4.053345
-3.418  1.541138  -4.052124
-3.428  1.378174  -4.050903
-3.438  1.21521  -4.049072
-3.447  0.892944  -4.046021
-3.457  0.730591  -4.0448
-3.467  0.569458  -4.043579
-3.477  0.408936  -4.042358
-3.486  0.248413  -4.040527
-3.496  -0.07019  -4.033813
-3.506  -0.230103  -4.01123
-3.516  -0.38269  0.13855
-3.525  -0.540771  4.796753
-3.535  -0.701904  4.794922
-3.545  -1.020508  4.744873
-3.555  -1.17981  4.714355
-3.564  -1.337891  4.686279
-3.574  -1.495361  4.658813
-3.584  -1.653442  4.633179
-3.594  -1.968384  4.587402
-3.604  -2.125244  4.56604
-3.613  -2.282104  4.547729
-3.623  -2.438965  4.528809
-3.633  -2.595825  4.511108
-3.643  -2.910156  4.480591
-3.652  -3.066406  4.465332
-3.662  -3.221436  4.452515
-3.672  -3.378296  4.441528
-3.682  -3.535767  4.428711
-3.691  -3.692017  4.417725
-3.701  -4.003296  4.398193
-3.711  -4.159546  4.389038
-3.721  -4.315186  4.381104
-3.73  -4.472046  4.373169
-3.74  -4.626465  4.365234
-3.75  -4.905396  4.352417
-3.76  -4.780884  4.345703
-3.77  -4.602051  4.3396
-3.779  -4.423828  4.335327
-3.789  -4.246216  4.330444
-3.799  -3.894653  4.321289
-3.809  -3.723145  4.317017
-3.818  -3.550415  4.312744
