[s],CH2[V]
-2.2970E-02,-8.79961E-01
-2.2965E-02,-8.69961E-01
-2.2960E-02,-8.69961E-01
-2.2955E-02,-8.69961E-01
-2.2950E-02,-8.79961E-01
-2.2945E-02,-8.79961E-01
-2.2940E-02,-8.69961E-01
-2.2935E-02,-8.69961E-01
-2.2930E-02,-8.69961E-01
-2.2925E-02,-8.69961E-01
-2.2920E-02,-8.69961E-01
-2.2915E-02,-8.69961E-01
-2.2910E-02,-8.69961E-01
-2.2905E-02,-8.89961E-01
-2.2900E-02,-8.79961E-01
-2.2895E-02,-8.69961E-01
-2.2890E-02,-8.89961E-01
-2.2885E-02,-8.79961E-01
-2.2880E-02,-8.79961E-01
-2.2875E-02,-8.79961E-01
-2.2870E-02,-8.69961E-01
-2.2865E-02,-8.79961E-01
-2.2860E-02,-8.69961E-01
-2.2855E-02,-8.69961E-01
-2.2850E-02,-8.79961E-01
-2.2845E-02,-8.69961E-01
-2.2840E-02,-8.79961E-01
-2.2835E-02,-8.69961E-01
-2.2830E-02,-8.79961E-01
-2.2825E-02,-8.79961E-01
-2.2820E-02,-8.79961E-01
-2.2815E-02,-8.59961E-01
-2.2810E-02,-8.79961E-01
-2.2805E-02,-8.69961E-01
-2.2800E-02,-8.79961E-01
-2.2795E-02,-8.79961E-01
-2.2790E-02,-8.89961E-01
-2.2785E-02,-8.69961E-01
-2.2780E-02,-8.79961E-01
-2.2775E-02,-8.79961E-01
-2.2770E-02,-8.69961E-01
-2.2765E-02,-8.69961E-01
-2.2760E-02,-8.79961E-01
-2.2755E-02,-8.79961E-01
-2.2750E-02,-8.69961E-01
-2.2745E-02,-8.79961E-01
-2.2740E-02,-8.69961E-01
-2.2735E-02,-8.69961E-01
-2.2730E-02,-8.69961E-01
-2.2725E-02,-8.79961E-01
-2.2720E-02,-8.69961E-01
-2.2715E-02,-8.69961E-01
-2.2710E-02,-8.69961E-01
-2.2705E-02,-8.89961E-01
-2.2700E-02,-8.69961E-01
-2.2695E-02,-8.69961E-01
-2.2690E-02,-8.69961E-01
-2.2685E-02,-8.69961E-01
-2.2680E-02,-8.69961E-01
-2.2675E-02,-8.69961E-01
-2.2670E-02,-8.69961E-01
-2.2665E-02,-8.69961E-01
-2.2660E-02,-8.69961E-01
-2.2655E-02,-8.69961E-01
-2.2650E-02,-8.89961E-01
-2.2645E-02,-8.79961E-01
-2.2640E-02,-8.89961E-01
-2.2635E-02,-8.79961E-01
-2.2630E-02,-8.79961E-01
-2.2625E-02,-8.79961E-01
-2.2620E-02,-8.79961E-01
-2.2615E-02,-8.89961E-01
-2.2610E-02,-8.79961E-01
-2.2605E-02,-8.79961E-01
-2.2600E-02,-8.69961E-01
-2.2595E-02,-8.69961E-01
-2.2590E-02,-8.69961E-01
-2.2585E-02,-8.79961E-01
-2.2580E-02,-8.69961E-01
-2.2575E-02,-8.69961E-01
-2.2570E-02,-8.69961E-01
-2.2565E-02,-8.89961E-01
-2.2560E-02,-8.69961E-01
-2.2555E-02,-8.79961E-01
-2.2550E-02,-8.69961E-01
-2.2545E-02,-8.89961E-01
-2.2540E-02,-8.69961E-01
-2.2535E-02,-8.69961E-01
-2.2530E-02,-8.79961E-01
