time,V(v_out)
9.822776017417716e-002,-8.379516e+000
9.822776941154703e-002,-8.416855e+000
9.822833548348810e-002,-8.439342e+000
9.822890155542915e-002,-8.457123e+000
9.822946762737023e-002,-8.470196e+000
9.823003369931128e-002,-8.478562e+000
9.823059977125236e-002,-8.482220e+000
9.823116584319341e-002,-8.481172e+000
9.823173191513449e-002,-8.475416e+000
9.843493315767458e-002,-8.476530e+000
9.863813440021467e-002,-8.477364e+000
9.884133564275477e-002,-8.477918e+000
9.904453688529485e-002,-8.478191e+000
9.924773812783495e-002,-8.478183e+000
9.945093937037504e-002,-8.477896e+000
9.965414061291514e-002,-8.477327e+000
9.995414061291515e-002,-8.477330e+000
1.000000000000000e-001,-8.477330e+000
