[s],CH2[V]
-2.2335E-03,1.480E-01
-2.2330E-03,1.400E-01
-2.2325E-03,1.240E-01
-2.2320E-03,1.320E-01
-2.2315E-03,1.400E-01
-2.2310E-03,1.560E-01
-2.2305E-03,1.560E-01
-2.2300E-03,1.480E-01
-2.2295E-03,1.400E-01
-2.2290E-03,1.400E-01
-2.2285E-03,1.400E-01
-2.2280E-03,1.480E-01
-2.2275E-03,1.480E-01
-2.2270E-03,1.560E-01
-2.2265E-03,1.480E-01
-2.2260E-03,1.400E-01
-2.2255E-03,1.560E-01
-2.2250E-03,1.480E-01
-2.2245E-03,1.560E-01
-2.2240E-03,1.480E-01
-2.2235E-03,1.560E-01
-2.2230E-03,1.400E-01
-2.2225E-03,1.480E-01
-2.2220E-03,1.480E-01
-2.2215E-03,1.560E-01
-2.2210E-03,1.640E-01
-2.2205E-03,1.560E-01
-2.2200E-03,1.560E-01
-2.2195E-03,1.480E-01
-2.2190E-03,1.560E-01
-2.2185E-03,1.480E-01
-2.2180E-03,1.640E-01
-2.2175E-03,1.640E-01
-2.2170E-03,1.640E-01
-2.2165E-03,1.640E-01
-2.2160E-03,1.480E-01
-2.2155E-03,1.640E-01
-2.2150E-03,1.480E-01
-2.2145E-03,1.640E-01
-2.2140E-03,1.640E-01
-2.2135E-03,1.720E-01
-2.2130E-03,1.640E-01
-2.2125E-03,1.560E-01
-2.2120E-03,1.640E-01
-2.2115E-03,1.640E-01
-2.2110E-03,1.720E-01
-2.2105E-03,1.640E-01
-2.2100E-03,1.640E-01
-2.2095E-03,1.560E-01
-2.2090E-03,1.640E-01
-2.2085E-03,1.560E-01
-2.2080E-03,1.720E-01
-2.2075E-03,1.720E-01
-2.2070E-03,1.800E-01
-2.2065E-03,1.800E-01
-2.2060E-03,1.560E-01
-2.2055E-03,1.640E-01
-2.2050E-03,1.640E-01
-2.2045E-03,1.720E-01
-2.2040E-03,1.720E-01
-2.2035E-03,1.720E-01
-2.2030E-03,1.720E-01
-2.2025E-03,1.720E-01
-2.2020E-03,1.720E-01
-2.2015E-03,1.800E-01
-2.2010E-03,1.800E-01
-2.2005E-03,1.800E-01
-2.2000E-03,1.720E-01
-2.1995E-03,1.640E-01
-2.1990E-03,1.720E-01
-2.1985E-03,1.640E-01
-2.1980E-03,1.800E-01
-2.1975E-03,1.800E-01
-2.1970E-03,1.880E-01
-2.1965E-03,1.880E-01
-2.1960E-03,1.720E-01
-2.1955E-03,1.640E-01
-2.1950E-03,1.800E-01
-2.1945E-03,1.720E-01
-2.1940E-03,1.800E-01
-2.1935E-03,1.880E-01
-2.1930E-03,1.720E-01
-2.1925E-03,1.800E-01
-2.1920E-03,1.800E-01
-2.1915E-03,1.880E-01
-2.1910E-03,1.880E-01
-2.1905E-03,1.800E-01
-2.1900E-03,1.800E-01
-2.1895E-03,1.800E-01
-2.1890E-03,1.800E-01
-2.1885E-03,1.800E-01
-2.1880E-03,1.880E-01
-2.1875E-03,1.960E-01
-2.1870E-03,-4.200E-01
-2.1865E-03,-5.880E-01
-2.1860E-03,-5.960E-01
-2.1855E-03,-5.960E-01
-2.1850E-03,-5.800E-01
-2.1845E-03,-5.880E-01
-2.1840E-03,-5.720E-01
-2.1835E-03,-5.800E-01
-2.1830E-03,-5.880E-01
-2.1825E-03,-5.720E-01
-2.1820E-03,-5.640E-01
-2.1815E-03,-5.640E-01
-2.1810E-03,-5.640E-01
-2.1805E-03,-5.640E-01
-2.1800E-03,-5.640E-01
-2.1795E-03,-5.640E-01
-2.1790E-03,-5.560E-01
-2.1785E-03,-5.560E-01
-2.1780E-03,-5.480E-01
-2.1775E-03,-5.480E-01
-2.1770E-03,-5.480E-01
-2.1765E-03,-5.400E-01
-2.1760E-03,-5.480E-01
-2.1755E-03,-5.400E-01
-2.1750E-03,-5.400E-01
-2.1745E-03,-5.320E-01
-2.1740E-03,-5.320E-01
-2.1735E-03,-5.400E-01
-2.1730E-03,-5.320E-01
-2.1725E-03,-5.240E-01
-2.1720E-03,-5.320E-01
-2.1715E-03,-5.240E-01
-2.1710E-03,-5.240E-01
-2.1705E-03,-5.240E-01
-2.1700E-03,-5.240E-01
-2.1695E-03,-5.240E-01
-2.1690E-03,-5.160E-01
-2.1685E-03,-5.240E-01
-2.1680E-03,-5.000E-01
-2.1675E-03,-5.160E-01
-2.1670E-03,-5.080E-01
-2.1665E-03,-5.080E-01
-2.1660E-03,-5.080E-01
-2.1655E-03,-5.080E-01
-2.1650E-03,-5.000E-01
-2.1645E-03,-5.000E-01
-2.1640E-03,-4.920E-01
-2.1635E-03,-5.000E-01
-2.1630E-03,-5.000E-01
-2.1625E-03,-4.840E-01
-2.1620E-03,-4.840E-01
-2.1615E-03,-4.760E-01
-2.1610E-03,-4.840E-01
-2.1605E-03,-4.840E-01
