time,V(n002)
4.538572204226905e-002,4.834230e-001
4.546819166300930e-002,5.860186e-001
4.555066128374954e-002,6.883309e-001
4.563313090448980e-002,7.903597e-001
4.567853230019838e-002,8.462201e-001
4.568479291272147e-002,8.539118e-001
4.569731413776765e-002,8.692786e-001
4.569809470628952e-002,8.702362e-001
4.569965584333324e-002,8.721508e-001
4.570277811742069e-002,8.759796e-001
4.570305017673283e-002,8.763132e-001
4.570359429535709e-002,8.769804e-001
4.570434642526337e-002,8.779025e-001
4.570496370176019e-002,8.786592e-001
4.570539160636678e-002,8.791838e-001
4.570571989950428e-002,8.795863e-001
4.570596344129098e-002,8.798848e-001
4.570616993212505e-002,8.801380e-001
4.570637846656148e-002,8.803936e-001
4.570660866643925e-002,8.806758e-001
4.570686640521977e-002,8.809917e-001
4.570714654808548e-002,8.813351e-001
4.570741243714385e-002,8.816610e-001
4.570769186864365e-002,8.820035e-001
4.570797419620861e-002,8.823496e-001
4.570830119618668e-002,8.827503e-001
4.570847966249039e-002,8.829691e-001
4.570864674202196e-002,8.831739e-001
4.570882260538930e-002,8.833894e-001
4.570898851656255e-002,8.835927e-001
4.570920026897942e-002,8.838522e-001
4.570924056035703e-002,8.839017e-001
4.570980119988921e-002,8.845887e-001
4.571036183942140e-002,8.852758e-001
4.571092247895358e-002,8.859628e-001
4.571148311848576e-002,8.866498e-001
4.571204375801794e-002,8.873368e-001
4.571260439755013e-002,8.880238e-001
4.571316503708231e-002,8.887107e-001
4.596731006469067e-002,1.198826e+000
4.622145509229903e-002,1.497076e+000
4.647560011990740e-002,1.783461e+000
4.672974514751576e-002,2.057980e+000
4.698389017512412e-002,2.320634e+000
4.723803520273248e-002,2.571423e+000
4.749218023034085e-002,2.810346e+000
4.789218023034085e-002,3.142150e+000
4.829218023034085e-002,3.424401e+000
4.869218023034085e-002,3.652647e+000
4.909218023034084e-002,3.823288e+000
4.949218023034084e-002,3.933634e+000
4.989218023034084e-002,3.983216e+000
5.025991243575187e-002,3.972225e+000
5.065991243575187e-002,3.898913e+000
5.105991243575186e-002,3.765384e+000
5.145991243575186e-002,3.572472e+000
5.185991243575186e-002,3.323220e+000
5.225991243575186e-002,3.021559e+000
5.265991243575185e-002,2.672246e+000
5.305991243575185e-002,2.280791e+000
5.345991243575185e-002,1.853366e+000
5.385991243575185e-002,1.396712e+000
5.425991243575185e-002,9.180310e-001
5.465991243575184e-002,4.248723e-001
5.505991243575184e-002,-7.530885e-002
5.514196630550471e-002,-1.785121e-001
5.522402017525759e-002,-2.814323e-001
5.530607404501046e-002,-3.840694e-001
5.538812791476334e-002,-4.864235e-001
5.547018178451622e-002,-5.884944e-001
5.555223565426910e-002,-6.902823e-001
5.563428952402197e-002,-7.917871e-001
5.567935497794888e-002,-8.472309e-001
5.568514906933458e-002,-8.543493e-001
5.569673725210600e-002,-8.685709e-001
5.569775182817141e-002,-8.698156e-001
