time,V(n002)
3.266288182454833e-002,2.669489e+000
3.306288182454833e-002,2.277742e+000
3.346288182454833e-002,1.850075e+000
3.386288182454832e-002,1.393230e+000
3.426288182454832e-002,9.144139e-001
3.466288182454832e-002,4.211766e-001
3.506288182454832e-002,-7.870297e-002
3.546288182454831e-002,-5.773413e-001
3.586288182454831e-002,-1.066875e+000
3.626288182454831e-002,-1.539583e+000
3.666288182454831e-002,-1.988011e+000
3.706288182454830e-002,-2.409007e+000
3.730339186999392e-002,-2.644056e+000
3.758147712652757e-002,-2.895046e+000
3.782595738549200e-002,-3.097469e+000
3.810698950414646e-002,-3.312382e+000
3.815512973444480e-002,-3.346749e+000
3.817438582656414e-002,-3.359907e+000
3.820454002509559e-002,-3.380357e+000
3.820780108546119e-002,-3.382553e+000
3.821432320619239e-002,-3.386921e+000
3.821574111925378e-002,-3.387869e+000
3.821857694537655e-002,-3.389763e+000
3.821928590190724e-002,-3.390235e+000
3.822070381496862e-002,-3.391181e+000
3.822204485606479e-002,-3.392074e+000
3.822295805648175e-002,-3.392682e+000
3.822365135938949e-002,-3.393144e+000
3.822417543075527e-002,-3.393492e+000
3.822458825624587e-002,-3.393767e+000
3.822490331699883e-002,-3.393976e+000
3.822515988993099e-002,-3.394147e+000
3.822537371349791e-002,-3.394289e+000
3.822553383840240e-002,-3.394396e+000
3.822564990107628e-002,-3.394473e+000
3.822573974793409e-002,-3.394533e+000
3.822581836190848e-002,-3.394585e+000
3.822589754709519e-002,-3.394638e+000
3.822598619455044e-002,-3.394696e+000
3.822607873146828e-002,-3.394758e+000
3.822618365563773e-002,-3.394828e+000
3.822628408112842e-002,-3.394894e+000
3.822639770441923e-002,-3.394970e+000
3.822645942996163e-002,-3.395011e+000
3.822651124625741e-002,-3.395046e+000
3.822663928869224e-002,-3.395130e+000
3.822695720495362e-002,-3.395342e+000
3.822728419901868e-002,-3.395559e+000
3.822773402439273e-002,-3.395858e+000
3.822774362602057e-002,-3.395864e+000
3.822816211267124e-002,-3.396142e+000
3.822858059932192e-002,-3.396420e+000
3.822899908597260e-002,-3.396698e+000
3.822941757262328e-002,-3.396975e+000
3.822983605927395e-002,-3.397253e+000
3.823025454592463e-002,-3.397530e+000
3.823067303257530e-002,-3.397808e+000
3.827568872416732e-002,-3.427263e+000
3.832070441575933e-002,-3.455837e+000
3.836572010735135e-002,-3.483529e+000
3.841073579894336e-002,-3.510339e+000
3.845575149053538e-002,-3.536267e+000
3.850076718212740e-002,-3.561314e+000
3.854578287371941e-002,-3.585479e+000
3.885611751304952e-002,-3.732990e+000
3.925611751304951e-002,-3.875925e+000
3.965611751304951e-002,-3.963546e+000
3.999137535990816e-002,-3.989888e+000
4.029679437446807e-002,-3.970644e+000
4.069679437446806e-002,-3.889150e+000
4.109679437446806e-002,-3.750042e+000
4.149679437446806e-002,-3.551794e+000
4.189679437446806e-002,-3.297532e+000
4.229679437446805e-002,-2.991266e+000
4.269679437446805e-002,-2.637827e+000
4.309679437446805e-002,-2.242787e+000
4.349679437446805e-002,-1.812376e+000
4.389679437446804e-002,-1.353384e+000
4.429679437446804e-002,-8.730481e-001
4.469679437446804e-002,-3.789435e-001
4.509679437446804e-002,1.211372e-001
4.549679437446803e-002,6.193075e-001
4.589679437446803e-002,1.107711e+000
4.629679437446803e-002,1.578645e+000
4.669679437446803e-002,2.024683e+000
4.709679437446802e-002,2.442547e+000
4.734614718746243e-002,2.683804e+000
4.762719285929357e-002,2.933847e+000
4.788850287517586e-002,3.146121e+000
4.817338948968027e-002,3.359264e+000
4.819006206941275e-002,3.370598e+000
4.819423021434587e-002,3.373418e+000
4.820256650421211e-002,3.379032e+000
