TIME  IN1  IN2  OUT1
800.781  0.497437  -3.330688  0.5
791.016  0.496216  -3.330078  0.5
781.25  0.494995  -3.329468  0.5
771.484  0.493164  -3.326416  0.5
761.719  0.492554  -3.322144  0.5
751.953  0.491943  -3.314819  0.5
742.188  0.491333  -3.233032  0.5
732.422  0.495605  -1.80603  0.5
722.656  0.50354  2.342529  0.5
712.891  0.498047  1.524658  0.5
703.125  0.490723  -0.293579  0.5
693.359  0.490112  -1.287231  0.5
683.594  0.491943  -0.792847  0.5
673.828  0.495605  1.053467  0.5
664.063  0.493164  0.750122  0.5
654.297  0.490112  -0.045166  0.5
644.531  0.489502  -0.510864  0.5
634.766  0.490112  -0.336304  0.5
625  0.491333  0.469971  0.5
615.234  0.490723  0.369873  0.5
605.469  0.489502  0.050659  0.5
595.703  0.488281  -0.202637  0.5
585.938  0.488281  -0.161133  0.5
576.172  0.488892  0.233765  0.5
566.406  0.488892  0.211182  0.5
556.641  0.487671  0.058594  0.5
546.875  0.487671  -0.091553  0.5
537.109  0.487671  -0.063477  0.5
527.344  0.487671  0.042725  0.5
517.578  0.487671  0.106812  0.5
507.813  0.481567  0.058594  0.5
498.047  -0.484619  3.508911  -0.5
488.281  -0.559082  3.659058  -0.5
478.516  -0.557861  3.660278  -0.5
468.75  -0.551147  3.64624  -0.5
458.984  -0.546875  3.638916  -0.5
449.219  -0.542603  3.632812  -0.5
439.453  -0.539551  3.626099  -0.5
429.688  -0.536499  3.619995  -0.5
419.922  -0.529785  3.61145  -0.5
410.156  -0.527344  3.608398  -0.5
400.391  -0.524902  3.605347  -0.5
390.625  -0.522461  3.603516  -0.5
380.859  -0.52063  3.600464  -0.5
371.094  -0.516357  3.599243  -0.5
361.328  -0.515137  3.598022  -0.5
351.563  -0.513306  3.597412  -0.5
341.797  -0.511475  3.598633  -0.5
332.031  -0.509644  3.598022  -0.5
322.266  -0.507202  3.599854  -0.5
312.5  -0.505981  3.599854  -0.5
302.734  -0.504761  3.601685  -0.5
292.969  -0.50354  3.603516  -0.5
283.203  -0.50293  3.605957  -0.5
273.438  -0.501709  3.607788  -0.5
263.672  -0.500488  3.612671  -0.5
253.906  -0.50415  2.29126  -0.5
244.141  -0.513916  -1.376953  -0.5
234.375  -0.514526  -3.112183  -0.5
224.609  -0.507202  -1.915283  -0.5
214.844  -0.496826  1.801758  -0.5
205.078  -0.499878  1.090698  -0.5
195.313  -0.504761  -0.529175  -0.5
185.547  -0.505371  -1.392212  -0.5
175.781  -0.502319  -0.935059  -0.5
166.016  -0.497437  0.730591  -0.5
156.25  -0.498657  0.444336  -0.5
146.484  -0.500488  -0.24292  -0.5
136.719  -0.499878  -0.621948  -0.5
126.953  -0.498657  -0.427856  -0.5
117.188  -0.496216  0.288086  -0.5
107.422  -0.496216  0.180664  -0.5
97.656  -0.497437  -0.10376  -0.5
87.891  -0.498047  -0.290527  -0.5
78.125  -0.497437  -0.231934  -0.5
68.359  -0.495605  0.110474  -0.5
58.594  -0.496216  0.090332  -0.5
48.828  -0.496216  -0.043945  -0.5
39.063  -0.496216  -0.140991  -0.5
29.297  -0.495605  -0.125122  -0.5
19.531  -0.495605  -0.031738  -0.5
9.766  -0.494385  0.028687  -0.5
0  0.446777  -3.14209  -0.5
-9.766  0.552368  -3.377075  0.5
-19.531  0.552368  -3.372803  0.5
-29.297  0.547485  -3.369141  0.5
-39.063  0.53894  -3.355713  0.5
-48.828  0.535889  -3.35022  0.5
-58.594  0.532837  -3.345337  0.5
-68.359  0.529175  -3.341064  0.5
-78.125  0.526123  -3.338013  0.5
-87.891  0.52063  -3.33374  0.5
-97.656  0.518188  -3.33313  0.5
-107.422  0.515747  -3.335571  0.5
-117.188  0.513306  -3.334351  0.5
-126.953  0.511475  -3.33313  0.5
-136.719  0.507812  -3.331909  0.5
-146.484  0.505981  -3.33252  0.5
-156.25  0.50415  -3.331299  0.5
-166.016  0.502319  -3.331299  0.5
-175.781  0.501099  -3.330688  0.5
-185.547  0.498657  -3.330688  0.5
-195.313  0.497437  -3.330688  0.5
-205.078  0.496826  -3.330078  0.5
-214.844  0.494995  -3.330078  0.5
-224.609  0.494385  -3.327637  0.5
-234.375  0.493164  -3.326416  0.5
-244.141  0.491943  -3.31543  0.5
-253.906  0.491333  -3.258667  0.5
-263.672  0.495605  -1.97998  0.5
-273.438  0.501709  0.750732  0.5
-283.203  0.50293  2.332764  0.5
-292.969  0.491943  -0.185547  0.5
-302.734  0.488892  -1.263428  0.5
-312.5  0.491333  -0.874634  0.5
-322.266  0.494995  0.301514  0.5
-332.031  0.495605  1.056519  0.5
-341.797  0.490112  -0.006104  0.5
-351.563  0.488892  -0.52124  0.5
-361.328  0.490112  -0.361328  0.5
-371.094  0.490723  0.164185  0.5
-380.859  0.490723  0.46875  0.5
-390.625  0.488892  0.040894  0.5
-400.391  0.487671  -0.184326  0.5
-410.156  0.489502  -0.135498  0.5
-419.922  0.488892  0.093994  0.5
-429.688  0.488892  0.224609  0.5
-439.453  0.488281  0.182495  0.5
-449.219  0.487671  -0.057983  0.5
-458.984  0.487671  -0.028687  0.5
-468.75  0.487671  0.054321  0.5
-478.516  0.487671  0.097046  0.5
-488.281  0.487671  0.079346  0.5
-498.047  -0.41687  3.261719  0.5
-507.813  -0.559082  3.657837  -0.5
-517.578  -0.557861  3.661499  -0.5
-527.344  -0.55481  3.654175  -0.5
-537.109  -0.551147  3.64624  -0.5
-546.875  -0.542603  3.633423  -0.5
-556.641  -0.53894  3.626709  -0.5
-566.406  -0.536499  3.620605  -0.5
-576.172  -0.532837  3.616943  -0.5
-585.938  -0.529785  3.612671  -0.5
-595.703  -0.525513  3.605957  -0.5
-605.469  -0.522461  3.602905  -0.5
-615.234  -0.52002  3.601074  -0.5
-625  -0.518188  3.599854  -0.5
-634.766  -0.516357  3.598633  -0.5
-644.531  -0.512695  3.598022  -0.5
-654.297  -0.511475  3.598633  -0.5
-664.063  -0.509644  3.598633  -0.5
-673.828  -0.508423  3.598022  -0.5
-683.594  -0.506592  3.599854  -0.5
-693.359  -0.505371  3.601074  -0.5
-703.125  -0.50354  3.604126  -0.5
-712.891  -0.50293  3.605347  -0.5
-722.656  -0.501709  3.607178  -0.5
-732.422  -0.501099  3.609619  -0.5
-742.188  -0.499878  3.612061  -0.5
-751.953  -0.513306  -1.124878  -0.5
-761.719  -0.515137  -3.096313  -0.5
-771.484  -0.507202  -2.086792  -0.5
-781.25  -0.499268  0.368042  -0.5
-791.016  -0.496216  1.792603  -0.5
-800.781  -0.50415  -0.427246  -0.5
-810.547  -0.505371  -1.386719  -0.5
-820.313  -0.502319  -1.019897  -0.5
-830.078  -0.498657  0.057983  -0.5
-839.844  -0.496826  0.736084  -0.5
-849.609  -0.499878  -0.19043  -0.5
-859.375  -0.499878  -0.634766  -0.5
-869.141  -0.499268  -0.48584  -0.5
-878.906  -0.497437  -0.015869  -0.5
-888.672  -0.496826  0.288086  -0.5
-898.438  -0.497437  -0.078735  -0.5
-908.203  -0.497437  -0.281372  -0.5
-917.969  -0.497437  -0.234375  -0.5
-927.734  -0.495605  -0.045776  -0.5
-937.5  -0.495605  0.093994  -0.5
-947.266  -0.496216  0.076904  -0.5
-957.031  -0.495605  -0.132446  -0.5
-966.797  -0.494995  -0.112915  -0.5
-976.563  -0.494385  -0.030518  -0.5
-986.328  -0.494385  0.026245  -0.5
-996.094  -0.494385  0.018921  -0.5
-1.006  0.552368  -3.377686  0.5
-1.016  0.552979  -3.373413  0.5
-1.025  0.548096  -3.36853  0.5
-1.035  0.544434  -3.361816  0.5
-1.045  0.540161  -3.356323  0.5
-1.055  0.532837  -3.345947  0.5
-1.064  0.529785  -3.341675  0.5
-1.074  0.526123  -3.338013  0.5
-1.084  0.523682  -3.336182  0.5
-1.094  0.52124  -3.33374  0.5
-1.104  0.515747  -3.334961  0.5
-1.113  0.513916  -3.334351  0.5
-1.123  0.511475  -3.33313  0.5
-1.133  0.509644  -3.33252  0.5
-1.143  0.507812  -3.33252  0.5
-1.152  0.504761  -3.331299  0.5
-1.162  0.50293  -3.331299  0.5
-1.172  0.501709  -3.331299  0.5
-1.182  0.500488  -3.331299  0.5
-1.191  0.499878  -3.330688  0.5
-1.201  0.498047  -3.330688  0.5
-1.211  0.495605  -3.329468  0.5
-1.221  0.494995  -3.327637  0.5
-1.23  0.493774  -3.325806  0.5
-1.24  0.493164  -3.322144  0.5
-1.25  0.491943  -3.31543  0.5
-1.26  0.494385  -2.129517  0.5
-1.27  0.501709  0.57312  0.5
-1.279  0.50354  2.288818  0.5
-1.289  0.498657  1.727905  0.5
-1.299  0.491943  -0.068359  0.5
-1.309  0.491333  -0.932007  0.5
-1.318  0.494995  0.213623  0.5
-1.328  0.496216  1.033325  0.5
-1.338  0.493774  0.855713  0.5
-1.348  0.490723  0.053101  0.5
-1.357  0.490112  -0.404053  0.5
-1.367  0.491333  0.112915  0.5
-1.377  0.491943  0.488892  0.5
-1.387  0.490723  0.407104  0.5
-1.396  0.489502  0.048218  0.5
-1.406  0.488892  -0.13855  0.5
-1.416  0.488892  0.067139  0.5
-1.426  0.489502  0.216675  0.5
-1.436  0.488892  0.194092  0.5
-1.445  0.488281  0.046387  0.5
-1.455  0.487671  -0.062866  0.5
-1.465  0.487671  0.0354  0.5
-1.475  0.488892  0.108032  0.5
-1.484  0.487061  0.110474  0.5
-1.494  0.487671  0.031128  0.5
-1.504  -0.344849  3.007812  -0.5
-1.514  -0.557861  3.662109  -0.5
-1.523  -0.55481  3.656006  -0.5
-1.533  -0.551147  3.648071  -0.5
-1.543  -0.547485  3.640747  -0.5
-1.553  -0.542603  3.633423  -0.5
-1.563  -0.536499  3.621826  -0.5
-1.572  -0.533447  3.616943  -0.5
-1.582  -0.530396  3.613281  -0.5
-1.592  -0.527344  3.609009  -0.5
-1.602  -0.525513  3.607178  -0.5
-1.611  -0.52063  3.601074  -0.5
-1.621  -0.518188  3.600464  -0.5
