TIME  IN1  IN2  OUT1
-322.266  0.358887  2.366943  0.355469
-332.031  0.342407  3.103027  0.335938
-341.797  0.302124  1.907349  0.316406
-351.563  0.283203  1.361694  0.296875
-361.328  0.267944  1.537476  0.277344
-371.094  0.252686  2.11792  0.257812
-380.859  0.235596  2.480469  0.238281
-390.625  0.199585  1.962891  0.21875
-400.391  0.182495  1.720581  0.199219
-410.156  0.165405  1.782227  0.179688
-419.922  0.150146  2.014771  0.160156
-429.688  0.133667  2.17041  0.140625
-439.453  0.116577  2.134399  0.121094
-449.219  0.082397  1.859131  0.101562
-458.984  0.065918  1.866455  0.082031
-468.75  0.050659  1.975708  0.0625
-478.516  0.033569  2.047119  0.042969
-488.281  0.01709  2.026367  0.023438
-498.047  -0.01709  1.921997  0.003906
-507.813  -0.033569  1.873779  -0.015625
-517.578  -0.048828  1.917725  -0.035156
-527.344  -0.065308  2.002563  -0.054688
-537.109  -0.081787  2.014771  -0.074219
-546.875  -0.114746  1.929321  -0.09375
-556.641  -0.131226  1.914062  -0.113281
-566.406  -0.147705  1.924438  -0.132812
-576.172  -0.163574  1.951904  -0.152344
-585.938  -0.179443  1.975708  -0.171875
-595.703  -0.212402  1.934814  -0.191406
-605.469  -0.228882  1.917725  -0.210938
-615.234  -0.245361  1.903076  -0.230469
-625  -0.26123  1.921997  -0.25
-634.766  -0.2771  1.940918  -0.269531
-644.531  -0.309448  1.956787  -0.289062
-654.297  -0.325317  1.950073  -0.308594
-664.063  -0.342407  1.923828  -0.328125
-673.828  -0.358276  1.920776  -0.347656
-683.594  -0.374756  1.925049  -0.367188
-693.359  -0.390015  1.931152  -0.386719
-703.125  -0.422363  1.930542  -0.40625
-712.891  -0.438843  1.930542  -0.425781
-722.656  -0.454102  1.936646  -0.445312
-732.422  -0.471191  1.937256  -0.464844
-742.188  -0.487061  1.924438  -0.484375
-751.953  -0.50415  1.33606  -0.496094
-761.719  -0.494995  -1.469727  -0.476562
-771.484  -0.480347  -3.552856  -0.457031
-781.25  -0.459595  -3.584595  -0.4375
-791.016  -0.438232  -3.19458  -0.417969
-800.781  -0.397949  -1.275635  -0.398438
-810.547  -0.38147  -1.358032  -0.378906
-820.313  -0.365601  -2.035522  -0.359375
-830.078  -0.349731  -2.580566  -0.339844
-839.844  -0.331421  -2.568359  -0.320312
-849.609  -0.294189  -1.713257  -0.300781
-859.375  -0.2771  -1.688843  -0.28125
-869.141  -0.26123  -1.982422  -0.261719
-878.906  -0.244141  -2.23999  -0.242188
-888.672  -0.227051  -2.229614  -0.222656
-898.438  -0.192261  -1.873169  -0.203125
-908.203  -0.175171  -1.849365  -0.183594
-917.969  -0.159302  -1.965332  -0.164062
-927.734  -0.142212  -2.08313  -0.144531
-937.5  -0.125732  -2.087402  -0.125
-947.266  -0.108032  -1.99585  -0.105469
-957.031  -0.075073  -1.922607  -0.085938
